Ticker,Nama,Sektor,Industri,Periode,Basis,MataUang,Diperbarui,Saham,EPS,BVPS,DPS,Omzet,LabaBersih,EBITDA,EBIT,MarginKotor%,MarginOperasi%,MarginBersih%,ROE%,ROA%,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,DER,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,OCF,Capex,FCF,OCF/Laba,Payout%,OmzetYoY%,LabaYoY%,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%
MAPI,Mitra Adiperkasa Tbk,Consumer Cyclical,Department Stores,2026-06-30,TTM-gabungan,IDR,2026-08-10,16600000000.0,149.7428,921.2323,10.0,50897695000000.0,2485730000000.0,7898924000000.0,4469829000000.0,38.08,9.3,4.88,17.99,7.45,8922017000000.0,4421056000000.0,113672000000.0,35416597000000.0,15292457000000.0,0.58,0.01,1.64,0.79,8.04,6537628000000.0,-2070834000000.0,4466794000000.0,2.63,13.42,23.8,24.4,16.0,1.8,1.0,0.37
MBMA,Merdeka Battery Materials Tb,Basic Materials,Other Precious Metals & Mining,2026-03-31,TTM,USD,2026-08-10,107995419900.0,10.3584,266.4645,,27065733986995.0,1118662014470.0,4179226606995.0,4160620469775.0,17.88,15.28,4.13,3.97,1.7,19734593629685.0,6214162322720.0,13460215702505.0,70496499174200.0,28776945569020.0,0.69,3.22,1.6,1.18,6.93,3570166887980.0,-3145703514910.0,424463373070.0,3.19,0.0,24.3,966.3,46.6,10.9,2.0,0.0
MDKA,Merdeka Copper Gold Tbk.,Basic Materials,Other Industrial Metals & Mining,2026-03-31,TTM,USD,2026-08-10,24416902071.0,-0.6326,619.804,12.29,35758764168600.0,-15447111625.0,5657415714390.0,5584060103325.0,18.7,14.79,-0.04,-0.1,-0.02,40766263684025.0,9677956583240.0,29698346036095.0,107066352699680.0,15133692772385.0,2.69,5.25,1.33,0.92,2.17,6493386676975.0,-8860863189310.0,-2367476512335.0,-420.36,0.0,23.5,1637.8,29.6,,0.0,0.02
MEDC,Medco Energi Internasional T,Energy,Oil & Gas E&P,2026-03-31,TTM-gabungan,USD,2026-08-10,24680621344.0,108.4629,1580.9369,64.5,44463587094740.0,2676932028980.0,14144605452450.0,14001528132130.0,37.5,27.62,6.02,6.98,1.86,66600315916805.0,9484741529780.0,53051797363180.0,146967689874555.0,39018505908470.0,1.71,3.75,1.12,1.02,2.42,17209513676300.0,-9288565921305.0,7920947754995.0,6.43,53.25,8.5,-28.4,1.2,-42.5,1.0,-1.53
PGAS,Perusahaan Gas Negara (Perse,Utilities,Utilities - Regulated Gas,2026-03-31,TTM-gabungan,USD,2026-08-10,24241508196.0,178.6625,2073.5853,125.61,69974849046575.0,4331048464325.0,10282168073870.0,10127782194090.0,18.17,13.66,6.19,8.62,3.86,19242745533110.0,24159313741310.0,-4916568208200.0,110184458553565.0,50266836156020.0,0.38,-0.48,2.01,1.9,11.17,8874458104270.0,-3518189748975.0,5356268355295.0,2.05,112.1,-4.4,18.9,3.7,-12.9,1.0,0.0
PGEO,Pertamina Geothermal Energy ,Utilities,Utilities - Renewable,2026-06-30,TTM-gabungan,USD,2026-08-10,41899535623.0,62.9041,850.5896,49.44,8223471795000.0,2635650930000.0,4392165305000.0,4355285165000.0,52.22,45.08,32.05,7.33,4.95,13168590490000.0,11665103010000.0,1430206855000.0,52706534375000.0,35639308045000.0,0.37,0.33,4.36,4.22,7.95,5718198200000.0,-1675417150000.0,4042781050000.0,2.17,81.37,16.7,13.8,3.9,2.6,1.0,0.94
PTBA,Bukit Asam (Persero) Tbk.,Energy,Thermal Coal,2026-03-31,TTM-gabungan,IDR,2026-08-10,11514357245.0,290.0963,2043.8109,114.51,42623005000000.0,3340272000000.0,4794162000000.0,4498807000000.0,15.85,8.04,7.84,14.51,7.86,2719627000000.0,4192245000000.0,-1472618000000.0,43228243000000.0,23533169000000.0,0.12,-0.31,1.27,0.94,21.38,7108016000000.0,-3804452000000.0,3303564000000.0,2.13,114.63,-18.0,-57.2,0.0,-38.5,0.0,0.0
SIDO,Industri Jamu dan Farmasi Si,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-08-10,29435200000.0,32.6951,101.7546,37.0,3717612000000.0,962387000000.0,1267392000000.0,1240274000000.0,55.54,31.9,25.89,28.71,26.16,1591000000.0,475644000000.0,-474053000000.0,3260699000000.0,2995167000000.0,0.0,-0.37,7.52,4.93,881.5,1205337000000.0,-62047000000.0,1143290000000.0,1.25,113.53,4.7,-20.0,1.8,3.6,2.0,-1.88
SMGR,Semen Indonesia (Persero) Tb,Basic Materials,Building Materials,2026-03-31,TTM-gabungan,IDR,2026-08-10,6735544090.0,33.9408,6465.2937,28.33,35877488000000.0,228610000000.0,2063242000000.0,1416505000000.0,20.01,4.52,0.64,0.52,0.3,10101958000000.0,4701897000000.0,4642273000000.0,75459729000000.0,43547271000000.0,0.23,2.25,1.14,0.81,1.86,3966556000000.0,-1187138000000.0,2779418000000.0,17.35,282.99,-16.2,200755.0,-1.1,-56.8,0.0,-0.24
SMRA,Summarecon Agung Tbk,Real Estate,Real Estate - Development,2026-06-30,TTM,IDR,2026-08-10,16508568358.0,36.0677,720.4474,5.0,8437629969000.0,595425686000.0,2746663469000.0,2640674435000.0,100.09,80.01,7.06,5.11,1.55,15076181413000.0,4838796933000.0,10202614575000.0,41303951908000.0,11893555693000.0,1.27,3.71,1.09,0.4,2.26,1460340581000.0,-150579162000.0,1309761419000.0,2.45,13.87,-18.5,-46.2,15.3,7.0,2.0,0.0
TLKM,Telkom Indonesia (Persero) T,Communication Services,Telecom Services,2026-06-30,TTM,IDR,2026-08-10,98580940800.0,173.8064,1200.3639,223.17,149616000000000.0,17134000000000.0,74468000000000.0,35810000000000.0,66.88,23.04,11.45,13.68,5.74,80885000000000.0,54579000000000.0,2336000000000.0,303087000000000.0,118333000000000.0,0.68,0.03,0.79,0.78,7.72,66131000000000.0,-25589000000000.0,40542000000000.0,3.86,125.16,6.4,21.6,-0.1,-5.5,1.0,-0.49
TOWR,Sarana Menara Nusantara Tbk.,Real Estate,Real Estate Services,2026-06-30,TTM-gabungan,IDR,2026-08-10,58211582377.0,66.7037,490.1916,13.78,14139245000000.0,3882929000000.0,6677392000000.0,6677392000000.0,66.42,56.12,27.46,16.15,4.82,45524849000000.0,941560000000.0,44094647000000.0,81842468000000.0,28534826000000.0,1.6,6.6,0.2,0.17,2.6,8836275000000.0,-3577863000000.0,5258412000000.0,2.28,20.24,13.8,14.1,6.5,2.2,2.0,16.34
UNTR,United Tractors Tbk,Basic Materials,Other Industrial Metals & Mining,2026-06-30,TTM-gabungan,IDR,2026-08-10,3493093536.0,2186.2163,27647.0017,2192.0,121064935000000.0,7636658000000.0,12574761000000.0,12574761000000.0,20.97,13.39,6.31,7.88,4.24,28076396000000.0,18153571000000.0,8180504000000.0,179058512000000.0,96573563000000.0,0.29,0.65,1.24,0.93,9.01,18528755000000.0,-11082831000000.0,7445924000000.0,2.43,78.67,-13.2,-90.2,2.0,-11.0,0.0,-3.82
UNVR,Unilever Indonesia Tbk,Consumer Defensive,Household & Personal Products,2026-06-30,TTM-gabungan,IDR,2026-08-10,37981233300.0,222.6181,79.5876,228.0,31893178000000.0,8455310000000.0,4770884000000.0,4558686000000.0,46.09,14.0,26.51,264.09,49.35,547203000000.0,1736727000000.0,778820000000.0,16454946000000.0,3022835000000.0,0.18,0.16,0.57,0.38,76.92,4480197000000.0,-1084336000000.0,3395861000000.0,0.53,205.1,3.0,-33.0,-8.1,12.5,1.0,-0.44
TPIA,Chandra Asri Pacific Tbk.,Basic Materials,Specialty Chemicals,2026-06-30,TTM-gabungan,USD,2026-08-10,86464496192.0,20.6637,813.7387,6.07,167747646880000.0,1786679345000.0,14690997695000.0,8598260000000.0,104.19,96.27,1.07,3.06,1.01,105007795805000.0,51897445215000.0,45227149605000.0,244555246155000.0,70359508285000.0,1.49,3.08,2.3,1.56,1.5,7023748050000.0,-15023469670000.0,-7999721620000.0,3.93,71.38,373.4,634.7,43.3,,2.0,-0.05
BREN,Barito Renewables Energy Tbk,Utilities,Utilities - Renewable,2026-06-30,TTM-gabungan,USD,2026-08-10,133779520000.0,20.4339,92.3689,4.09,11361623515000.0,2733642670000.0,9708998860000.0,7946639800000.0,,72.64,24.06,24.74,3.92,37456312245000.0,3592687010000.0,33788621405000.0,71824054885000.0,12357067525000.0,3.03,3.48,1.63,1.58,4.06,4457167440000.0,-3191695430000.0,1265472010000.0,1.63,19.83,12.5,28.9,2.0,13.2,3.0,-0.01
CUAN,Petrindo Jaya Kreasi Tbk.,Energy,Thermal Coal,2026-06-30,TTM-gabungan,USD,2026-08-10,112399199400.0,24.0879,54.8697,0.58,26462815060000.0,2707457060000.0,4588663970000.0,4538051485000.0,14.34,3.67,10.23,46.69,6.64,25342110035000.0,3912652425000.0,18965150105000.0,47043567560000.0,6167315165000.0,4.11,4.13,1.84,1.66,2.62,-597756720000.0,-6376178270000.0,-6973934990000.0,-0.22,0.0,70.5,725.4,131.7,54.2,1.0,-0.02
PTRO,Petrosea Tbk,Basic Materials,Other Industrial Metals & Mining,2026-03-31,TTM-gabungan,USD,2026-08-10,10086050000.0,51.5598,461.0863,16.22,18055848580000.0,520034845000.0,1697765520000.0,1668080205000.0,13.07,7.02,2.88,11.46,2.37,15655726020000.0,1400361655000.0,13607012925000.0,28517230720000.0,4650539465000.0,3.37,8.01,1.29,1.25,1.67,1921568990000.0,-7267927975000.0,-5346358985000.0,3.7,34.17,57.1,-79.7,23.0,-11.0,1.0,0.0
CDIA,Chandra Daya Investasi Tbk.,Utilities,Utilities - Regulated Electric,2026-06-30,TTM,USD,2026-08-10,124749839100.0,10.0392,147.824,6.9,2901167188480.0,1252385245100.0,2169486493350.0,2154208131460.0,22.0,9.94,43.17,8.33,4.68,13643266600040.0,7467133155515.0,6159727236080.0,34347226232330.0,18441022417180.0,0.74,2.84,10.91,10.86,3.24,-106783496380.0,-3729276587850.0,-3836060084230.0,-0.09,69.2,26.9,-77.6,,,1.0,-0.06
BNBR,Bakrie & Brothers Tbk,Industrials,Conglomerates,2026-03-31,TTM,IDR,2026-08-10,173420223169.0,2.5624,22.3055,,3924356000000.0,444372000000.0,989673000000.0,966323000000.0,22.97,4.01,11.32,12.72,2.84,16924774000000.0,206755000000.0,16711671000000.0,24219911000000.0,3868232000000.0,4.38,16.89,1.31,1.12,1.94,-432762000000.0,-177987000000.0,-527695000000.0,-0.97,0.0,19.0,-78.2,1.1,22.9,2.0,0.0
BUMI,Bumi Resources Tbk,Energy,Thermal Coal,2026-06-30,TTM-gabungan,USD,2026-08-10,371335392068.0,5.7149,79.6503,,28665338040185.0,2122141222795.0,4953197115570.0,4923177445505.0,17.85,9.61,7.4,7.26,2.76,13021620378525.0,3192185886120.0,7830164945405.0,81594932348875.0,29576961930340.0,0.44,1.58,1.29,1.19,6.41,46873183445.0,-3578645784945.0,-3531772601500.0,0.02,0.0,28.8,94.2,-8.0,-46.4,2.0,0.0
BRMS,Bumi Resources Minerals Tbk.,Basic Materials,Other Industrial Metals & Mining,2026-06-30,TTM-gabungan,USD,2026-08-10,141784040338.0,5.0066,157.7076,,3984662692615.0,709860283165.0,1367244177530.0,1350741949260.0,55.02,33.42,17.81,3.23,3.11,5206362630865.0,570806966290.0,4404253321600.0,25101780496100.0,22360416997215.0,0.23,3.22,3.14,2.72,3.2,319686397910.0,-2082815446305.0,-1763129048395.0,0.45,0.0,-58.4,-132.0,177.7,54.1,3.0,-0.0
ENRG,Energi Mega Persada Tbk,Energy,Oil & Gas E&P,2026-03-31,TTM-gabungan,USD,2026-08-10,26346230250.0,61.9659,616.492,,9202607961360.0,1632568716130.0,3004437638345.0,3004437638345.0,39.0,33.66,17.74,11.18,5.33,7595326248235.0,1592992257725.0,4292206339960.0,33133000669120.0,16242241136825.0,0.47,1.43,0.57,0.48,6.53,5702395433075.0,-5596576629490.0,105818803585.0,3.49,0.0,-7.3,-24.0,3.3,11.1,3.0,6.14
