Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
HRTA,Hartadinata Abadi Tbk.,Logam,Consumer Cyclical,Ya,HOLD,69,,2240,7.8,2.76,0.73,1.56,42.04,34.1,65.2,1.79,1.12,10.3,14.18,31.8,0.35,54.0,2011.0,2167.0,3.83,3.21,2.1,14.65,1.56,1.69,0.45,6.62,6.59,0.52,4.4,13.85,0.35,65,56,63,94,74,86.0,56.9,3.0,0.0,288.7995,811.1909,40.0,4605262400.0,63303233662381.0,1329997259504.0,2050416067991.0,2010186800309.0,4189281732944.0,983698277704.0,3189473023358.0,11350876052356.0,3735746835279.0,694811034043.0,-240938914845.0,453872119198.0,2026-06-30,TTM,IDR
ACES,Aspirasi Hidup Indonesia Tbk,LQ45,Consumer Cyclical,Ya,HOLD,80,,358,8.0,0.96,0.75,0.54,11.8,60.2,2.3,8.94,0.16,6.1,23.72,8.5,0.7,53.1,351.0,355.0,47.65,7.2,8.6,8.87,-0.11,4.94,2.28,11.96,3.67,1.6,16.91,71.71,0.16,90,69,94,61,88,8.5,0.2,2.0,-0.17,44.7514,371.7251,32.01,17120389700.0,8908461631750.0,766162246072.0,1621458585540.0,1014150493932.0,988865868411.0,1166703195453.0,-177837327042.0,8826928053044.0,6364078418614.0,1228204293854.0,-191704862144.0,1036499431710.0,2026-06-30,TTM-gabungan,IDR
BSSR,Baramulti Suksessarana Tbk.,,Energy,Ya,HOLD,74,payout>100,4880,8.0,2.41,0.33,1.09,31.96,25.5,-26.9,17.13,0.0,12.8,1.25,5.8,2.13,79.2,4327.0,3725.0,29.89,15.14,12.52,23.17,-0.54,2.78,2.34,1513.44,5.91,1.69,18.3,129.27,0.14,84,90,98,17,74,-11.9,-29.5,0.0,0.0,610.5355,2028.1788,836.13,2616500000.0,12757946278560.0,1597466196960.0,1979678979360.0,1977310274880.0,22880580960.0,1082615163360.0,-1059734582400.0,6987283393440.0,5306729700480.0,2704112380800.0,-366916378560.0,2337196002240.0,2026-03-31,TTM-gabungan,USD
ARNA,Arwana Citramulia Tbk,,Industrials,Ya,HOLD,79,,510,8.6,2.02,0.74,0.99,22.48,30.9,30.1,8.82,0.01,3.6,2.9,1.4,0.98,81.7,482.0,480.0,30.6,18.61,13.8,15.0,-0.2,1.64,1.45,112.5,6.23,1.88,11.82,76.19,0.46,80,88,94,48,86,4.1,-11.4,0.0,-0.51,59.3173,253.0283,45.0,7029976876.0,3021123223358.0,416998910396.0,557712009883.0,553918465727.0,14153474812.0,125038474878.0,-110885000066.0,2780293040761.0,1778782909748.0,782699738783.0,-359037329208.0,423662409575.0,2026-06-30,TTM-gabungan,IDR
ULTJ,Ultrajaya Milk Industry & Tr,,Consumer Defensive,Ya,HOLD,84,,1510,8.7,1.98,0.83,0.98,23.01,51.7,18.7,8.61,0.01,15.7,2.7,4.0,0.51,59.3,1440.0,1492.0,33.37,20.9,17.67,20.31,-1.01,5.56,3.67,19508.05,5.61,1.17,10.62,75.14,0.21,78,88,100,71,85,4.6,12.1,2.0,0.0,172.9596,762.3023,130.0,10398175200.0,10180057000000.0,1798464000000.0,2370183000000.0,2301950000000.0,40611000000.0,2435024000000.0,-2394413000000.0,9066914000000.0,7926553000000.0,2098609000000.0,-432212000000.0,1667443000000.0,2026-06-30,TTM-gabungan,IDR
ANTM,ANTAM (Persero) Tbk.,LQ45,Basic Materials,Ya,WSE,75,"OCF-,FCF-",3080,8.7,1.91,0.7,1.03,24.14,135.6,12.8,6.82,0.22,74.0,91.23,284.0,0.79,50.1,3002.0,3210.0,17.84,9.98,9.66,15.74,-0.03,1.98,0.97,89.02,6.2,-0.05,-1.21,56.69,,78,59,91,83,59,22.6,23.6,2.0,0.0,353.0653,1616.5529,209.99,24030764724.0,87814076000000.0,8484428000000.0,11897150000000.0,11726483000000.0,8731397000000.0,9038508000000.0,-307111000000.0,63295662000000.0,38847003000000.0,-382963000000.0,-511986000000.0,-894949000000.0,2026-03-31,TTM-gabungan,IDR
TINS,TIMAH (Persero) Tbk.,Logam,Basic Materials,Ya,HOLD,81,,4480,8.9,3.16,0.71,1.7,41.0,938.8,136.2,1.97,0.11,33.4,50.03,202.3,1.14,72.1,3732.0,3487.0,33.67,27.11,21.0,25.77,0.01,2.62,1.81,52.54,6.64,1.02,10.57,17.64,0.08,62,94,96,73,81,-2.6,8.0,2.0,0.0,500.586,1416.1618,88.19,7447753454.0,17752588000000.0,3728241000000.0,5036226000000.0,4991561000000.0,1189095000000.0,4483933000000.0,53760000000.0,16448966000000.0,10547224000000.0,3816688000000.0,-289147000000.0,3527541000000.0,2026-06-30,TTM-gabungan,IDR
CBDK,Bangun Kosambi Sukses Tbk.,Salim,Real Estate,Tidak,WSE,72,"FCF-,kas<laba",4060,9.1,2.17,0.81,2.33,28.02,778.3,242.3,0.12,0.02,22.9,2.59,10.1,0.49,63.0,3655.0,5277.0,79.12,72.77,72.08,11.49,-1.21,1.51,0.59,119.57,7.44,0.07,-0.25,1.12,1.33,50,67,89,100,45,63.4,70.3,3.0,-0.46,448.3475,1872.4068,5.0,5643069200.0,3509992744000.0,2530055766000.0,2649569808000.0,2642854684000.0,217454371000.0,3425899867000.0,-3208445496000.0,22220999185000.0,10566121186000.0,178408810000.0,-236731505000.0,-58322695000.0,2026-06-30,TTM-gabungan,IDR
DSNG,Dharma Satya Nusantara Tbk.,,Consumer Defensive,Ya,HOLD,78,,1660,9.1,1.47,0.87,0.73,17.45,55.1,27.1,2.83,0.29,17.6,6.34,9.6,0.7,70.3,1330.0,1409.0,30.74,22.7,15.38,10.87,0.91,1.34,0.67,8.78,6.76,1.34,4.25,25.86,0.71,76,84,76,77,72,8.5,15.1,2.0,0.0,181.7199,1130.5908,47.0,10599842400.0,12524098000000.0,1926202000000.0,3009241000000.0,2930428000000.0,3434109000000.0,676925000000.0,2734139000000.0,17814315000000.0,11984084000000.0,2589835000000.0,-1842811000000.0,747024000000.0,2026-06-30,TTM-gabungan,IDR
MAPI,Mitra Adiperkasa Tbk,LQ45,Consumer Cyclical,Ya,BOW,72,,1390,9.3,1.51,0.87,0.85,17.99,24.4,23.8,0.72,0.58,23.1,4.84,7.1,0.8,39.1,1522.0,1345.0,38.08,9.3,4.88,7.45,0.01,1.64,0.79,8.04,2.94,2.63,19.36,13.42,0.32,73,72,78,62,82,16.0,1.8,1.0,0.37,149.7428,921.2323,10.0,16600000000.0,50897695000000.0,2485730000000.0,7898924000000.0,4469829000000.0,8922017000000.0,4421056000000.0,113672000000.0,35416597000000.0,15292457000000.0,6537628000000.0,-2070834000000.0,4466794000000.0,2026-06-30,TTM-gabungan,IDR
