Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
BKSW,Bank QNB Indonesia Tbk.,,Financial Services,Tidak,TIPIS,38,rugi,50,-59.7,0.37,,0.42,-0.62,23.2,-0.3,0.0,0.01,1.8,4.78,0.3,0.16,35.1,53,58.0,,,-6.56,-0.22,,,,,,-35.8,57.38,0.0,0.04,63,2,,41,59,-15.8,,1.0,0.0,-0.8376,133.5589,,35158048365.0,448682000000.0,-29447000000.0,,,68267000000.0,1894194000000.0,-1825927000000.0,14429358000000.0,4695671000000.0,1054091000000.0,-45416000000.0,1008675000000.0,2026-06-30,TTM-gabungan,IDR
SFAN,Surya Fajar Capital Tbk.,,Financial Services,Tidak,TIPIS,21,"rugi,bunga<1.5",1990,-56.9,28.33,,31.83,-42.9,66.8,-134.3,0.0,0.0,2.7,0.06,0.1,0.81,35.9,2002,1958.0,14.68,-3635.97,-4061.43,-25.69,,2.42,2.42,-281.07,,0.18,-0.33,0.0,,9,2,,38,59,-53.7,,1.0,0.0,-34.9888,70.2365,,1359934021.0,1171568874.0,-47582425384.0,-48344521738.0,-54430950815.0,289040363.0,78916983749.0,-78627943386.0,191491798280.0,95517022832.0,-8583632500.0,-365267678.0,-8948900178.0,2026-06-30,Tahunan,IDR
KIJA,Kawasan Industri Jababeka Tb,,Real Estate,Ya,WSE,48,"rugi,laba-30%",176,-56.0,0.6,,0.67,-1.1,-645.0,-3.6,1.15,0.8,3.7,392.74,77.6,1.13,47.1,165,180.0,36.16,22.13,-1.34,-0.45,2.22,5.65,2.29,1.8,7.14,-23.29,34.88,8.31,0.16,59,13,66,47,77,23.3,,3.0,1.29,-3.1416,291.0643,2.03,20796830969.0,4859489000000.0,-65336000000.0,744441000000.0,726716000000.0,4863072000000.0,3205192000000.0,1653209000000.0,14911351000000.0,6053216000000.0,1521497000000.0,-244682000000.0,1276815000000.0,2026-06-30,TTM-gabungan,IDR
CMNT,Cemindo Gemilang Tbk.,,Basic Materials,Tidak,JUAL,27,"rugi,DER>3,bunga<1.5",750,-54.2,5.69,,3.23,-9.89,42.4,30.3,0.0,4.03,12.8,23.47,17.6,0.65,46.1,774,782.0,21.21,9.49,-2.5,-1.41,21.07,0.5,0.26,0.59,53.48,-5.2,6.44,0.0,0.33,10,9,6,69,73,-2.5,,2.0,0.0,-13.8345,131.7917,,17125504000.0,9495268000000.0,-236923000000.0,396311000000.0,331622000000.0,9092816000000.0,509088000000.0,8351311000000.0,16609303000000.0,2256999000000.0,1232502000000.0,-405606000000.0,826896000000.0,2026-06-30,TTM-gabungan,IDR
ELTY,Bakrieland Development Tbk,Bakrie,Real Estate,Ya,JUAL,38,"rugi,bunga<1.5,laba-30%",33,-53.5,0.26,,0.29,-0.49,-148.8,-2.9,0.0,0.18,1.4,69.61,2.5,0.88,43.9,35,39.0,32.71,8.85,-1.85,-0.31,5.23,0.83,0.32,0.61,17.24,-3.75,5.22,0.0,0.26,53,8,43,39,69,11.6,,2.0,0.0,-0.6173,127.2777,,43521913019.0,1454671000000.0,-26867000000.0,119591000000.0,53619000000.0,1014129000000.0,144457000000.0,625953000000.0,8633886000000.0,5539370000000.0,100651000000.0,-25707000000.0,74944000000.0,2026-06-30,TTM,IDR
JAWA,Jaya Agra Wattie Tbk.,,Consumer Defensive,Ya,HOLD,34,"rugi,FCF-,bunga<1.5",169,-53.1,2.01,,1.0,-3.73,195.1,-3.9,0.0,0.73,2.7,34.37,5.8,0.54,58.3,137,154.0,9.66,3.65,-3.22,-1.29,7.13,0.88,0.27,0.81,26.67,-2.64,-2.1,0.0,1.42,30,6,29,75,39,21.5,,2.0,0.0,-3.1816,84.1216,,16232951842.0,1602591390172.0,-51646175623.0,140383303410.0,139868236169.0,1001152247681.0,167807914.0,1000263328917.0,4064181302440.0,1365541137066.0,136264664711.0,-193868627203.0,-57603962492.0,2026-06-30,TTM,IDR
CBRE,Cakra Buana Resources Energi,,Industrials,Tidak,WSE,29,"rugi,OCF-,FCF-,DER>3,bunga<1.5",750,-52.3,63.61,,30.44,-75.7,393.6,210.5,0.0,3.59,3.4,21.89,16.1,0.46,56.1,713,830.0,7.91,-31.12,-64.56,-5.5,,0.11,0.1,-2.34,,0.8,-2.56,0.0,,10,21,5,80,44,18.7,,0.0,0.0,-14.3437,11.7911,,4538067441.0,100825413526.0,-65092678409.0,-36709883084.0,-44760671638.0,192278401613.0,5724580336.0,180497147228.0,2024817352940.0,53508621219.0,-52256913719.0,-35030513895.0,-87287427614.0,2026-03-31,TTM,IDR
FUTR,Futura Energi Global Tbk.,,Utilities,Tidak,JUAL,26,"rugi,OCF-,FCF-,bunga<1.5,laba-30%",278,-40.3,10.66,,2.84,-23.39,-264.5,-77.3,0.0,0.03,1.8,58.09,18.5,0.73,44.8,302,341.0,24.71,-176.12,-208.77,-20.8,,7.07,7.07,-161.84,,0.02,-0.03,0.0,,10,6,68,16,50,-10.8,,2.0,0.0,-6.8958,26.0804,,6635551959.0,21917368803.0,-45757221609.0,-29284535722.0,-44246500545.0,5512787805.0,30741803730.0,-25229015925.0,201443988832.0,173057545792.0,-881564003.0,294943477.0,-586620526.0,2026-03-31,TTM,IDR
INDR,Indo-Rama Synthetics Tbk.,,Consumer Cyclical,Ya,TIPIS,41,"rugi,bunga<1.5",3010,-37.0,0.29,,0.16,-0.78,363.1,16.2,0.0,0.32,2.0,0.08,0.2,0.67,63.9,2488,2608.0,4.01,1.09,-0.36,-0.39,13.28,1.01,0.39,1.22,27.77,-15.66,15.29,0.0,0.64,44,4,37,70,73,-6.0,,2.0,0.0,-81.315,10270.9035,,654351707.0,14679627686880.0,-53208587040.0,135942694560.0,120722676480.0,2144020446720.0,320228872800.0,1805615989920.0,13960860009600.0,6720783262560.0,833082279360.0,-532011278400.0,301071000960.0,2026-06-30,TTM-gabungan,USD
FILM,MD Entertainment Tbk.,,Communication Services,Ya,JUAL,35,"rugi,FCF-,bunga<1.5",695,-36.9,2.43,,1.23,-7.22,77.8,12.5,0.0,0.12,7.6,45.1,37.1,0.31,37.3,953,4729.0,26.38,-41.33,-42.67,-5.36,,1.54,0.73,-24.81,,-0.18,-1.43,0.0,0.06,28,5,53,61,42,4.4,,0.0,3.86,-18.8239,286.0471,,10887566758.0,480353184940.0,-204946918210.0,-179528219688.0,-225148098171.0,389220000000.0,268149864505.0,121070135495.0,3774450230739.0,3114357088513.0,37488358753.0,2181443640.0,-107834648176.0,2026-06-30,TTM-gabungan,IDR
GTSI,GTS Internasional Tbk.,,Industrials,Tidak,JUAL,26,"rugi,FCF-,bunga<1.5,laba-30%",152,-34.7,2.72,,1.3,-7.44,-163.9,27.6,0.66,0.98,2.4,28.12,4.7,0.3,42.9,164,218.0,5.12,-7.66,-11.03,-3.04,,1.28,1.09,-0.24,,-0.52,-20.59,0.0,14.76,29,3,43,34,30,-5.6,-13.0,2.0,0.0,-4.38,55.964,1.0,15819142767.0,628461362880.0,-69288544320.0,-6914909280.0,-13299309600.0,867214566240.0,336662857920.0,520569753600.0,2541370965120.0,885303090720.0,36142932000.0,-533363418240.0,-495077458080.0,2026-06-30,TTM-gabungan,USD
BBKP,Bank KB Indonesia Tbk.,,Financial Services,Tidak,JUAL,36,rugi,50,-34.1,1.16,,1.3,-3.43,100.3,293.1,0.0,2.73,9.4,63.53,3.3,0.04,30.9,54,63.0,,,-18.76,-0.32,,,,,,10.75,-41.73,0.0,,29,2,,76,59,-0.5,,1.0,0.0,-1.4662,42.949,,187887539870.0,1468588000000.0,-275490000000.0,,,22015851000000.0,8110880000000.0,13904971000000.0,86588323000000.0,8069588000000.0,-2960302000000.0,-960137000000.0,-3920439000000.0,2026-03-31,TTM-gabungan,IDR
PSSI,IMC Pelita Logistik Tbk.,,Industrials,Ya,TIPIS,32,"rugi,FCF-,bunga<1.5,laba-30%,payout>100",348,-30.8,0.67,,0.32,-2.13,-47.9,-23.1,1.44,0.07,1.8,0.6,0.2,0.7,52.7,335,333.0,9.11,-2.7,-6.48,-1.82,,6.17,5.82,-3.66,,-3.04,-7.62,491.0,1.77,59,3,68,3,28,-21.8,-82.0,0.0,-2.23,-11.2985,517.0186,5.0,5121189153.0,893426283840.0,-57861920160.0,-26789752320.0,-37577442720.0,190846828800.0,853558991040.0,-662712162240.0,3040029514080.0,2647749848640.0,175802901120.0,-311641948320.0,-135839047200.0,2026-06-30,TTM-gabungan,USD
OASA,Maharaksa Biru Energi Tbk.,,Industrials,Tidak,JUAL,27,"rugi,bunga<1.5,laba-30%",270,-29.3,3.18,,1.52,-10.3,-193.5,-88.3,0.0,0.04,1.7,26.9,8.5,0.25,34.7,319,324.0,13.58,-324.31,-402.5,-8.76,,1.9,1.9,-30.71,,-0.87,2.92,0.0,0.01,22,3,64,12,59,-7.2,,1.0,0.0,-9.2032,84.7845,,6347220000.0,14512909427.0,-58414460849.0,-47100059516.0,-53628666624.0,23805531739.0,2520831457.0,19789261570.0,608807253764.0,538145819515.0,50569088334.0,-496899977.0,50072188357.0,2026-03-31,TTM,IDR
ASLI,Asri Karya Lestari Tbk.,,Industrials,Ya,HOLD,30,"rugi,bunga<1.5",486,-28.0,8.2,,3.92,-25.57,44.2,-74.3,0.0,0.06,3.0,161.35,65.3,4.24,75.1,276,347.0,-97.75,-171.01,-184.66,-22.56,,3.32,1.52,-18.4,,-0.41,1.37,0.0,0.08,10,4,65,37,58,-11.9,,1.0,0.0,-17.3657,59.2533,,6250000000.0,58774500222.0,-108535656417.0,-92769851774.0,-100799006440.0,23843910024.0,5601562125.0,5981844573.0,405645247393.0,370333433577.0,44826273383.0,-3391107779.0,41704723823.0,2026-03-31,TTM,IDR
BELI,Global Digital Niaga Tbk.,,Consumer Cyclical,Ya,WSE,38,"rugi,OCF-,FCF-,bunga<1.5",280,-22.1,4.2,,2.39,-19.19,36.0,49.0,0.0,0.4,38.4,3.26,1.1,0.11,46.3,277,368.0,16.17,-4.79,-6.3,-9.54,,1.24,0.8,-5.43,,0.66,-4.15,0.0,,12,20,48,88,30,13.6,,3.0,4.75,-12.6649,66.6747,,137218985689.0,27595756000000.0,-1737867000000.0,-797946000000.0,-1379882000000.0,3702772000000.0,1630052000000.0,1449441000000.0,18751121000000.0,9149030000000.0,-1142944000000.0,-452123000000.0,-1595067000000.0,2026-06-30,TTM-gabungan,IDR
NIRO,City Retail Developments Tbk,,Real Estate,Tidak,TIPIS,34,"rugi,OCF-,FCF-,DER>3,bunga<1.5",169,-19.3,2.24,,2.52,-11.02,19.6,16.5,0.0,4.52,3.8,2.15,0.4,2.15,49.8,162,209.0,50.65,23.07,-12.33,-1.35,13.66,0.9,0.88,0.54,21.66,2.9,-15.21,0.0,,10,47,13,66,37,18.6,,1.0,0.0,-8.7517,75.3387,,22198871804.0,1575531835856.0,-194276817070.0,469025179819.0,382134342381.0,7558725879053.0,1147586687330.0,6407315515083.0,14339431804885.0,1672433565411.0,-563251354762.0,-7491030294.0,-570742385056.0,2026-03-31,TTM,IDR
