Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
MAHA,Mandiri Herindo Adiperkasa T,,Industrials,Ya,TIPIS,83,,147,6.5,1.31,0.54,0.65,20.16,399.9,44.6,8.16,0.3,2.4,4.16,0.6,0.52,55.9,142.0,142.0,20.98,16.5,11.12,13.23,0.53,1.67,1.56,10.71,4.95,1.81,20.43,52.98,0.19,92,84,86,64,90,21.2,-21.5,1.0,-0.04,22.6752,111.8723,12.0,16394970000.0,3342606831000.0,371759537000.0,544750586000.0,534728379000.0,558743482000.0,270881380000.0,287862102000.0,2840478359000.0,1834142352000.0,672866965000.0,-125786181000.0,492457060000.0,2026-06-30,TTM-gabungan,IDR
AADI,Adaro Andalan Indonesia Tbk.,,Energy,Ya,BUY,73,,10650,6.6,1.34,0.3,0.63,21.85,,,9.4,0.24,82.9,10.07,99.3,1.91,69.8,8970.0,8429.0,24.46,19.43,14.76,12.01,-0.07,2.1,1.93,26.56,4.49,0.82,5.4,35.6,0.56,95,79,94,12,79,-14.0,-31.3,1.0,0.0,1613.0008,7924.4183,1001.4,7786891760.0,85070719680000.0,12560262720000.0,18174038880000.0,18150169440000.0,14926036800000.0,16240294560000.0,-1314257760000.0,102662390400000.0,61706587200000.0,10263077760000.0,-5781412800000.0,4481664960000.0,2026-03-31,TTM-gabungan,USD
TOWR,Sarana Menara Nusantara Tbk.,LQ45,Real Estate,Tidak,WSE,63,dilusi,448,6.7,0.91,0.61,1.0,16.15,14.1,13.8,3.08,1.6,26.1,77.79,33.9,0.27,62.2,401.0,469.0,66.42,56.12,27.46,4.82,6.6,0.2,0.17,2.6,10.51,2.28,20.16,20.24,0.4,73,85,25,58,66,6.5,2.2,2.0,16.34,66.7037,490.1916,13.78,58211582377.0,14139245000000.0,3882929000000.0,6677392000000.0,6677392000000.0,45524849000000.0,941560000000.0,44094647000000.0,81842468000000.0,28534826000000.0,8836275000000.0,-3577863000000.0,5258412000000.0,2026-06-30,TTM-gabungan,IDR
CPIN,Charoen Pokphand Indonesia T,LQ45,Consumer Defensive,Ya,JUAL,77,,3030,6.7,1.42,0.65,0.7,22.34,-26.5,10.0,5.94,0.28,49.7,43.61,131.5,0.78,45.9,3117.0,3859.0,19.01,13.12,9.67,15.5,0.38,2.68,0.77,23.98,5.0,0.72,6.72,39.65,0.38,88,72,88,57,84,7.5,24.4,2.0,0.0,454.4337,2128.1364,180.0,16398000000.0,77061799000000.0,7451803000000.0,10742932000000.0,10441748000000.0,9848829000000.0,5368132000000.0,4070467000000.0,52380933000000.0,34897180000000.0,5366489000000.0,-2025137000000.0,3341352000000.0,2026-06-30,TTM-gabungan,IDR
AUTO,Astra Otoparts Tbk,,Consumer Cyclical,Ya,HOLD,80,,3390,6.8,1.02,0.65,0.58,15.66,17.2,14.3,6.76,0.04,16.3,5.04,15.9,0.71,87.7,2724.0,2563.0,16.64,6.25,11.42,10.53,-1.2,2.03,1.5,87.77,4.1,0.67,6.41,45.71,0.35,91,62,96,70,85,2.3,18.5,3.0,0.0,501.5815,3317.761,229.0,4819733000.0,21176143000000.0,2417489000000.0,3082629000000.0,2897524000000.0,590363000000.0,4296374000000.0,-3706011000000.0,23881905000000.0,15990722000000.0,1612079000000.0,-564257000000.0,1047822000000.0,2026-06-30,TTM-gabungan,IDR
DRMA,Dharma Polimetal Tbk.,,Consumer Cyclical,Ya,TIPIS,82,,1000,6.8,1.72,0.65,0.97,26.75,-3.2,10.2,7.0,0.13,4.7,0.79,0.8,1.38,58.3,942.0,960.0,18.03,12.34,11.0,16.41,0.04,1.84,1.29,34.83,5.05,1.26,11.93,47.3,0.36,83,83,92,63,90,15.0,18.3,2.0,0.0,147.7725,579.9845,70.0,4705882300.0,6323088493470.0,695400197239.0,938685350274.0,912017651027.0,362465292848.0,539468498050.0,34632512016.0,4426846216351.0,2729338967881.0,877576118660.0,-315993816576.0,561582302084.0,2026-06-30,TTM-gabungan,IDR
TLDN,Teladan Prima Agro Tbk.,,Consumer Defensive,Ya,BUY,83,,605,7.2,2.12,0.7,1.05,30.87,65.3,5.2,14.07,0.21,7.8,1.8,1.0,2.72,66.0,538.0,596.0,34.0,22.81,19.49,17.68,0.07,1.24,0.5,32.99,5.48,1.1,15.37,64.37,0.01,81,91,83,77,83,14.5,24.5,2.0,0.0,84.1135,285.1419,85.15,12946530200.0,5585973861000.0,1088977379000.0,1446591116000.0,1418808736000.0,787400994000.0,258018162000.0,96219476000.0,6342799138000.0,3691598827000.0,1196076050000.0,7636158000.0,1203712208000.0,2026-06-30,TTM-gabungan,IDR
MTDL,Metrodata Electronics Tbk,,Technology,Ya,WSE,67,"OCF-,FCF-",510,7.5,1.33,0.11,0.68,18.44,0.7,25.2,5.29,0.71,6.3,2.49,1.3,1.2,51.0,509.0,536.0,8.17,5.35,2.86,6.17,1.28,1.66,0.87,15.84,5.14,-2.06,-27.54,39.71,,92,39,77,69,49,9.0,11.9,3.0,0.0,67.8844,382.3876,27.0,12276884585.0,29132361000000.0,833409000000.0,1620819000000.0,1620819000000.0,3341596000000.0,1269398000000.0,2072198000000.0,15284097000000.0,4694528000000.0,-1713826000000.0,-10520000000.0,-1724346000000.0,2026-06-30,TTM-gabungan,IDR
MSTI,Mastersystem Infotama Tbk.,,Technology,Ya,BUY,80,,1340,7.5,1.94,0.11,0.99,25.09,-14.3,-15.6,17.91,0.05,4.2,1.31,1.7,1.32,54.0,1301.0,1281.0,17.97,12.18,10.17,17.37,-1.13,3.42,2.51,81.1,4.6,1.13,15.29,68.67,0.02,85,82,99,50,84,15.8,11.2,3.0,0.0,177.6595,691.0077,240.0,3139416200.0,5485756068930.0,557746997487.0,734120756297.0,723792619810.0,99923497110.0,932278996083.0,-832355498973.0,3160161962664.0,2169360617053.0,628296088529.0,14720169200.0,643016257729.0,2026-06-30,TTM-gabungan,IDR
HRTA,Hartadinata Abadi Tbk.,Logam,Consumer Cyclical,Ya,HOLD,69,,2230,7.7,2.75,0.74,1.56,42.04,34.1,65.2,1.79,1.12,10.3,16.59,36.4,0.63,54.8,1992.0,2151.0,3.83,3.21,2.1,14.65,1.56,1.69,0.45,6.62,6.56,0.52,4.42,13.85,0.35,65,56,63,94,74,86.0,56.9,3.0,0.0,288.7995,811.1909,40.0,4605262400.0,63303233662381.0,1329997259504.0,2050416067991.0,2010186800309.0,4189281732944.0,983698277704.0,3189473023358.0,11350876052356.0,3735746835279.0,694811034043.0,-240938914845.0,453872119198.0,2026-06-30,TTM,IDR
BSSR,Baramulti Suksessarana Tbk.,,Energy,Ya,HOLD,74,payout>100,4690,7.7,2.31,0.35,1.08,31.96,25.5,-26.9,17.83,0.0,12.3,0.95,4.3,1.18,78.3,4275.0,3701.0,29.89,15.14,12.52,23.17,-0.54,2.78,2.34,1513.44,5.66,1.69,19.05,129.27,0.14,85,90,98,17,74,-11.9,-29.5,0.0,0.0,610.5355,2028.1788,836.13,2616500000.0,12757946278560.0,1597466196960.0,1979678979360.0,1977310274880.0,22880580960.0,1082615163360.0,-1059734582400.0,6987283393440.0,5306729700480.0,2704112380800.0,-366916378560.0,2337196002240.0,2026-03-31,TTM-gabungan,USD
TRIM,Trimegah Sekuritas Indonesia,,Financial Services,Tidak,TIPIS,73,,665,7.7,2.14,0.56,2.4,32.37,18.6,47.8,0.15,1.55,4.7,0.29,0.2,1.0,75.5,582.0,593.0,84.17,6.67,63.52,9.28,2.69,2.09,2.09,4.52,7.64,-2.06,-27.18,0.99,,49,93,,85,60,23.0,49.5,2.0,0.0,86.6383,311.0766,1.0,7109300000.0,969642139000.0,615937824000.0,955169638000.0,936991968000.0,3430930411000.0,823312820000.0,2572573305000.0,8844879492000.0,2211537084000.0,-1269643434000.0,-15558575000.0,-1285202009000.0,2026-03-31,TTM,IDR
BLES,Superior Prima Sukses Tbk.,,Basic Materials,Ya,HOLD,79,,197,7.9,1.4,0.64,0.77,19.21,9153.6,63.5,0.96,0.43,1.8,12.77,2.7,0.88,51.0,174.0,157.0,33.44,18.61,13.0,11.11,0.92,1.11,0.89,7.27,5.77,1.78,12.85,7.54,0.67,77,84,74,80,77,10.5,8.6,2.0,0.0,25.0765,140.669,1.89,8890206400.0,1715181453068.0,222935434198.0,361176078639.0,330565318808.0,533689446787.0,162205830991.0,333679239736.0,2133306736804.0,1250576310854.0,396491505120.0,-264125516324.0,225071402699.0,2026-06-30,TTM-gabungan,IDR
TINS,TIMAH (Persero) Tbk.,Logam,Basic Materials,Ya,HOLD,82,,4010,8.0,2.83,0.65,1.55,41.0,938.8,136.2,2.2,0.11,29.9,53.75,211.4,0.78,57.1,3674.0,3454.0,33.67,27.11,21.0,25.77,0.01,2.62,1.81,52.54,5.94,1.02,11.81,17.64,0.08,67,94,96,73,81,-2.6,8.0,2.0,0.0,500.586,1416.1618,88.19,7447753454.0,17752588000000.0,3728241000000.0,5036226000000.0,4991561000000.0,1189095000000.0,4483933000000.0,53760000000.0,16448966000000.0,10547224000000.0,3816688000000.0,-289147000000.0,3527541000000.0,2026-06-30,TTM-gabungan,IDR
CASS,Cahaya Aero Services Tbk.,,Industrials,Ya,TIPIS,86,,1860,8.1,2.2,0.67,1.09,32.73,38.8,14.7,0.0,0.08,3.9,0.44,0.8,0.02,47.9,1860.0,2144.0,29.88,29.04,14.47,16.24,-1.24,3.61,3.54,80.41,2.12,1.99,21.93,0.0,0.11,72,95,99,87,75,23.6,53.4,3.0,0.0,230.7985,844.5291,,2086950000.0,3329044000000.0,481665000000.0,1154153000000.0,1154153000000.0,147720000000.0,1584592000000.0,-1436872000000.0,3185475000000.0,1762490000000.0,957319000000.0,-106016000000.0,851303000000.0,2026-06-30,TTM-gabungan,IDR
PBSA,Paramita Bangun Sarana Tbk.,,Industrials,Tidak,WSE,79,"kas<laba,laba-30%",815,8.2,2.67,0.68,1.33,34.53,-94.5,46.8,7.36,0.0,2.4,1.63,1.4,0.76,51.7,769.0,1093.0,19.25,15.66,17.16,23.63,-0.18,2.44,2.32,219.03,6.83,0.45,4.64,0.0,0.14,75,76,98,73,69,29.6,33.7,3.0,-0.5,98.993,305.106,60.0,2984886300.0,1722166992724.0,295482781026.0,346758505971.0,339485648783.0,359243304.0,64427107916.0,-64067864612.0,1403748608050.0,910706628306.0,132131014395.0,-19135282487.0,112995731908.0,2026-03-31,TTM,IDR
PNGO,AEP Pinago Plantations Tbk.,,Consumer Defensive,Ya,TIPIS,79,,3470,8.2,2.15,0.8,1.07,28.46,37.0,-24.7,6.34,0.19,2.7,0.01,0.0,0.87,40.1,3499.0,3304.0,28.69,18.14,14.93,19.67,0.47,1.58,0.24,19.39,6.45,1.16,9.71,52.01,0.31,76,88,82,64,89,4.2,22.9,3.0,0.0,422.2676,1617.3247,220.0,781250000.0,2209046168949.0,329896533939.0,453283798885.0,441693529105.0,236970712999.0,23206649839.0,212754658248.0,1714967584206.0,1263534907162.0,383812764487.0,-120621661297.0,263191103190.0,2026-06-30,TTM-gabungan,IDR
DGWG,Delta Giri Wacana Tbk.,,Basic Materials,Ya,WSE,67,"FCF-,kas<laba",344,8.4,1.82,0.69,1.0,25.88,,,6.98,1.08,2.0,14.62,4.8,0.43,61.0,303.0,353.0,25.75,9.94,5.45,7.03,2.39,1.14,0.53,4.51,6.82,0.39,-0.6,32.61,1.13,79,58,54,80,54,35.0,15.4,2.0,0.0,41.1975,189.4334,24.0,5882353000.0,4447580000000.0,242338000000.0,456530000000.0,418972000000.0,1201471000000.0,53846000000.0,1092284000000.0,3987401000000.0,1114314000000.0,95679000000.0,-107854000000.0,-12175000000.0,2026-03-31,TTM-gabungan,IDR
TSPC,Tempo Scan Pacific Tbk,,Industrials,Ya,HOLD,76,kas<laba,2760,8.4,1.28,0.69,0.64,15.7,3.3,12.9,5.43,0.12,12.4,0.76,2.1,1.0,54.4,2659.0,2648.0,38.15,12.27,10.19,10.79,-1.93,2.91,2.2,30.93,3.85,0.35,10.01,45.73,1.03,87,59,98,59,79,4.6,12.0,2.0,0.0,328.0225,2159.209,150.0,4509864300.0,14516249062463.0,1479336826164.0,2155918719007.0,1948955287334.0,1214533541243.0,5367042204715.0,-4152508663472.0,14198435026984.0,9737739799932.0,523944046029.0,-538088902080.0,1246581937255.0,2026-06-30,TTM-gabungan,IDR
