Tanggal,Waktu,Ticker,Nama,Status,Skor,HargaScreening
2026-08-14,2026-08-14T11:55:53Z,MDKA,Merdeka Copper Gold Tbk.,BUY,31,2900
2026-08-14,2026-08-14T11:55:53Z,TINS,TIMAH (Persero) Tbk.,BUY,82,3890
2026-08-14,2026-08-14T11:55:53Z,VKTR,VKTR Teknologi Mobilitas Tbk,BUY,30,885
2026-08-18,2026-08-18T11:38:59Z,ADMR,Alamtri Minerals Indonesia T,BUY,59,1675
2026-08-18,2026-08-18T11:38:59Z,ADRO,Alamtri Resources Indonesia ,BUY,72,2570
2026-08-18,2026-08-18T11:38:59Z,APLN,Agung Podomoro Land Tbk.,BUY,61,137
2026-08-18,2026-08-18T11:38:59Z,BDMN,Bank Danamon Indonesia Tbk.,BUY,67,4300
2026-08-18,2026-08-18T11:38:59Z,HMSP,H.M. Sampoerna Tbk.,BUY,71,745
2026-08-18,2026-08-18T11:38:59Z,ITMG,Indo Tambangraya Megah Tbk,BUY,73,24750
2026-08-18,2026-08-18T11:38:59Z,MAPA,Map Aktif Adiperkasa Tbk.,BUY,78,675
2026-08-18,2026-08-18T11:38:59Z,MMIX,Multi Medika Internasional T,BUY,53,765
2026-08-18,2026-08-18T11:38:59Z,OMED,Jayamas Medica Industri Tbk.,BUY,78,230
2026-08-18,2026-08-18T11:38:59Z,SSIA,Surya Semesta Internusa Tbk,BUY,51,1690
2026-08-19,2026-08-19T11:38:50Z,ACES,Aspirasi Hidup Indonesia Tbk,BUY,80,362
2026-08-19,2026-08-19T11:38:50Z,APLN,Agung Podomoro Land Tbk.,BUY,60,145
2026-08-19,2026-08-19T11:38:50Z,ELSA,Elnusa Tbk,BUY,84,720
2026-08-19,2026-08-19T11:38:50Z,FAST,Fast Food Indonesia Tbk,BUY,19,452
2026-08-19,2026-08-19T11:38:50Z,MEDC,Medco Energi Internasional T,BUY,60,1425
2026-08-19,2026-08-19T11:38:50Z,MMIX,Multi Medika Internasional T,BUY,53,770
2026-08-19,2026-08-19T11:38:50Z,SSIA,Surya Semesta Internusa Tbk,BUY,51,1760
2026-08-20,2026-08-20T11:41:06Z,BFIN,BFI Finance  Indonesia Tbk,BUY,68,890
2026-08-20,2026-08-20T11:41:06Z,BULL,Buana Lintas Lautan Tbk.,BUY,65,462
2026-08-20,2026-08-20T11:41:06Z,DSNG,Dharma Satya Nusantara Tbk.,BUY,80,1420
2026-08-20,2026-08-20T11:41:06Z,OMED,Jayamas Medica Industri Tbk.,BUY,78,236
2026-08-20,2026-08-20T11:41:06Z,SIMP,Salim Ivomas Pratama Tbk.,BUY,78,615
2026-08-20,2026-08-20T11:41:06Z,VKTR,VKTR Teknologi Mobilitas Tbk,BUY,30,930
2026-08-21,2026-08-21T11:40:16Z,DSNG,Dharma Satya Nusantara Tbk.,BUY,80,1440
2026-08-21,2026-08-21T11:40:16Z,FAST,Fast Food Indonesia Tbk,BUY,19,472
2026-08-21,2026-08-21T11:40:16Z,LSIP,PP London Sumatra Indonesia ,BUY,89,1460
2026-08-21,2026-08-21T11:40:16Z,OASA,Maharaksa Biru Energi Tbk.,BUY,31,326
2026-08-21,2026-08-21T11:40:16Z,SSIA,Surya Semesta Internusa Tbk,BUY,51,1775
2026-08-24,2026-08-24T11:43:46Z,ADMR,Alamtri Minerals Indonesia T,BUY,60,1680
2026-08-24,2026-08-24T11:43:46Z,ADRO,Alamtri Resources Indonesia ,BUY,72,2630
2026-08-24,2026-08-24T11:43:46Z,MMIX,Multi Medika Internasional T,BUY,53,780
2026-08-24,2026-08-24T11:43:46Z,OMED,Jayamas Medica Industri Tbk.,BUY,78,234
2026-08-24,2026-08-24T11:43:46Z,SMIL,Sarana Mitra Luas Tbk.,BUY,52,390
2026-08-26,2026-08-26T11:44:12Z,ADMR,Alamtri Minerals Indonesia T,BUY,60,1685
2026-08-26,2026-08-26T11:44:12Z,ADRO,Alamtri Resources Indonesia ,BUY,72,2610
2026-08-26,2026-08-26T11:44:12Z,AYAM,Janu Putra Sejahtera Tbk.,BUY,30,458
2026-08-26,2026-08-26T11:44:12Z,BYAN,Bayan Resources Tbk,BUY,60,15325
2026-08-26,2026-08-26T11:44:12Z,ELSA,Elnusa Tbk,BOW,84,675
2026-08-26,2026-08-26T11:44:12Z,HRTA,Hartadinata Abadi Tbk.,BUY,76,2320
2026-08-26,2026-08-26T11:44:12Z,ISAT,Indosat Tbk,BUY,73,2480
2026-08-26,2026-08-26T11:44:12Z,ITMG,Indo Tambangraya Megah Tbk,BUY,73,25100
2026-08-26,2026-08-26T11:44:12Z,KIJA,Kawasan Industri Jababeka Tb,BUY,49,183
2026-08-26,2026-08-26T11:44:12Z,LSIP,PP London Sumatra Indonesia ,BUY,89,1420
2026-08-26,2026-08-26T11:44:12Z,MAPA,Map Aktif Adiperkasa Tbk.,BUY,78,675
2026-08-26,2026-08-26T11:44:12Z,MDKA,Merdeka Copper Gold Tbk.,BUY,31,3020
2026-08-26,2026-08-26T11:44:12Z,SMIL,Sarana Mitra Luas Tbk.,BUY,52,406
2026-08-26,2026-08-26T11:44:12Z,SSIA,Surya Semesta Internusa Tbk,BUY,51,1800
